Invoice No;Invoice Date;Party Name;City;State;Cat No;Product Description;Product Category;Quantity;Rate;Total Amt;Net Amount;TCS;Freight;Disc %;Adjustment Of Goods Return;LR No;LR Date;Transporter Name;Order No;PO No;Order Dt;Sales Person Name
JSC-00885/25-26;03.06.2025;BHATT CHEMI GLASS.;Mumbai;Maharashtra;9911-2504;Whatman Uniflo 25mm 0.45 PTFE 500/PK;490 EF Lab Cat Syringe Filters;1;17980.2;17980.2;45919;0;400;37.00;0;14181;03.06.2025;VINAYAK ROAD LINES;SOP-00878/25-26;610-MUMBAI;30.05.2025;Rahul
JSC-00885/25-26;03.06.2025;BHATT CHEMI GLASS.;Mumbai;Maharashtra;1001-917;GR 1 46X57CM 100/PK;467 CF Lab Catalogue Qualitative;2;10817;21634;;;;42.00;0;14181;03.06.2025;VINAYAK ROAD LINES;SOP-00878/25-26;610-MUMBAI;30.05.2025;Rahul
JSC-00886/25-26;03.06.2025;GTC LABCHEM PRIVATE LIMITED;Vadodara;Gujarat;1820-866;GF/A 8x10IN 100/PK;461 GF Lab Catalogue;1;22353.2;22353.2;125792;0;150;42.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00901/25-26,SOP-00880/25-26;31,3;31.05.2025;Shishir
JSC-00886/25-26;03.06.2025;GTC LABCHEM PRIVATE LIMITED;Vadodara;Gujarat;1822-047;GF/C 4.7CM 100/PK;461 GF Lab Catalogue;25;3364;84100;;;;42.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00901/25-26,SOP-00880/25-26;31,3;31.05.2025;Shishir
JSC-00887/25-26;03.06.2025;ABSOLUTE FILTERTECH;Ahmedabad;Gujarat;4889;Lab Manifold 3-place SS no adapters 1pk;PALL LIFESCIENCE;1;167042;167042;197464;0;300;39.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00841/25-26;AF-P-030/25-26;29.05.2025;Shishir
JSC-00888/25-26;03.06.2025;THE ILECO;Chennai;Tamil Nadu;10427810;GB003 150x150MM 100/PK;Pure Cellulose Blotting Sheets;2;4694;9388;54686;0;150;36.99;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00885/25-26,SOP-00335/25-26,SOP-00249/25-26;280,97,61;31.05.2025;Elumalai
JSC-00888/25-26;03.06.2025;THE ILECO;Chennai;Tamil Nadu;1541-125;GR 541 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;2;4089;8178;;;;42.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00885/25-26,SOP-00335/25-26,SOP-00249/25-26;280,97,61;31.05.2025;Elumalai
JSC-00888/25-26;03.06.2025;THE ILECO;Chennai;Tamil Nadu;1822-025;GF/C 2.5CM 100/PK;461 GF Lab Catalogue;10;2279.4;22794;;;;42.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00885/25-26,SOP-00335/25-26,SOP-00249/25-26;280,97,61;31.05.2025;Elumalai
JSC-00888/25-26;03.06.2025;THE ILECO;Chennai;Tamil Nadu;8134-1750;STD17 17 mm x 50m;466 GF Pad for DX;1;5833.8;5833.8;;;;0.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00885/25-26,SOP-00335/25-26,SOP-00249/25-26;280,97,61;31.05.2025;Elumalai
JSC-00889/25-26;03.06.2025;BIOLINKK;New Delhi;Delhi;10427813;GB003 160x180MM 100/PK;Pure Cellulose Blotting Sheets;1;5304.6;5304.6;6495;0;200;0.00;0;200325795;03.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00019/25-26;BK/PUR/6821-RR;31.03.2025;Rakesh Ranjan
